filename,text,data,bss,dec,hex
bc_api_src/bc/bc_cafc/src/hal_es2_cafc.c.o,37669,4600,10224,52493,cd0d
bc_api_src/bc/bc_cafc/src/bc_cafc.c.o,2843,1648,336,4827,12db
bc_api_src/bc/bc_otp/src/hal_es2_otp.c.o,14644,1936,2544,19124,4ab4
bc_api_src/bc/bc_otp/src/bc_otp.c.o,742,496,80,1318,526
bc_api_src/bc/bc_ism/src/hal_es2_ism.c.o,69668,6616,8984,85268,14d14
bc_api_src/bc/bc_ism/src/bc_ism.c.o,3671,2224,464,6359,18d7
bc_api_src/bc/bc_mipi/src/bc_mipi.c.o,1243,784,144,2171,87b
bc_api_src/bc/bc_mipi/src/hal_es2_mipi.c.o,9358,1432,1696,12486,30c6
bc_api_src/bc/bc_te/src/bc_te.c.o,2900,1792,368,5060,13c4
bc_api_src/bc/bc_te/src/hal_es2_te.c.o,15286,2008,2640,19934,4dde
bc_api_src/bc/bc_gldo/src/hal_es2_gldo.c.o,1141,264,160,1565,61d
bc_api_src/bc/bc_gldo/src/bc_gldo.c.o,444,264,32,740,2.00E+04
bc_api_src/bc/bc_alg/src/bc_alg.c.o,1530,192,32,1754,6da
bc_api_src/bc/bc_atb/src/bc_atb.c.o,0,0,0,0,0
bc_api_src/bc/bc_ssb/src/bc_ssb.c.o,952,640,112,1704,6a8
bc_api_src/bc/bc_ssb/src/hal_es2_ssb.c.o,5034,640,824,6498,1962
bc_api_src/bc/bc_spi/src/bc_spi.c.o,1342,496,184,2022,7.00E+06
bc_api_src/bc/bc_cc/src/hal_es2_cc.c.o,19332,2152,2288,23772,5cdc
bc_api_src/bc/bc_cc/src/bc_cc.c.o,1941,1288,256,3485,d9d
bc_api_src/bc/bc_gbias/src/bc_gbias.c.o,0,0,0,0,0
bc_api_src/bc/bc_lvds/src/hal_es2_lvds.c.o,8439,1216,1560,11215,2bcf
bc_api_src/bc/bc_lvds/src/bc_lvds.c.o,1131,712,128,1971,7b3
bc_api_src/bc/bc_tx/src/bc_tx.c.o,2160,1288,256,3704,e78
bc_api_src/bc/bc_tx/src/hal_es2_tx.c.o,19056,3304,3712,26072,65d8
bc_api_src/bc/bc_mclk/src/hal_es2_mclk.c.o,7377,1432,1496,10305,2841
bc_api_src/bc/bc_mclk/src/bc_mclk.c.o,988,640,112,1740,6cc
bc_api_src/bc/bc_sc/src/bc_sc.c.o,1185,712,128,2025,7.00E+09
bc_api_src/bc/bc_sc/src/hal_es2_sc.c.o,6241,856,816,7913,1ee9
bc_api_src/bc/bc_sys/src/bc_sys.c.o,2587,1360,424,4371,1113
bc_api_src/bc/bc_sys/src/helper_bcsysinit.c.o,1138,856,160,2154,86a
bc_api_src/bc/bc_sys/src/helper_es2sys.c.o,25542,4312,5504,35358,8a1e
bc_api_src/bc/bc_sys/src/bc_sysinit.c.o,6726,1720,1632,10078,275e
bc_api_src/bc/bc_sys/src/helper_bcsys.c.o,5959,1720,904,8583,2187
bc_api_src/bc/bc_sys/src/helper_es2sysinit.c.o,12010,1288,2416,15714,3d62
bc_api_src/bc/bc_rx/src/hal_es2_rx.c.o,9418,1792,1888,13098,332a
bc_api_src/bc/bc_rx/src/bc_rx.c.o,1034,640,112,1786,6fa
bc_api_src/bc/bc_adc/src/bc_adc.c.o,659,424,64,1147,47b
bc_api_src/bc/bc_adc/src/hal_es2_adc.c.o,3261,496,624,4381,111d
bc_api_src/bc/bc_loi/src/bc_loi.c.o,924,568,96,1588,634
bc_api_src/bc/bc_loi/src/hal_es2_loi.c.o,4636,856,704,6196,1834
